,Day,Date,Competition,Opposition,Ven,HT,FT,FT,Res,Scorers,Referee,Attendance,Ground,LPT,LPO,TP,TR,OP,OR,Captain,Opp Manager
36,Wed,"Jan 24, 2007",LCSF.1,Arsenal ,(h),2-0,2,2,D,"Berbatov 12, Batista 21og (Batista 64, 77)",Graham Poll,"35,485",White Hart Lane,n/a,,,,,,Robinson,Arsene Wenger
37,Sat,"Jan 27, 2007",FAC4,Southend United ,(h),1-0,3,1,W,"Keane 12, Jenas 50, Mido 76 (Eastwood 69p)",Rob Styles,"33,406",White Hart Lane,n/a,,0,0,1,0,Keane (Jenas),Steve Tilson
38,Wed,"Jan 31, 2007",LCSF.2,Arsenal a.e.t.,(a),0-0,1,3,L,"Mido 85 (Adebayor 77, Aliadiere 105, Chimbonda 113og)",Alan Wiley,"55,872",Emirates Stadium,n/a,,0,0,0,0,Keane,Arsene Wenger
39,Sun,"Feb 4, 2007",Prem,Manchester United,(h),0-1,0,4,L,"(Ronaldo 45p, Vidic 48, Scholes 54, Giggs 77)",Mark Clattenburg,"36,146",White Hart Lane,11,,0,0,1,0,Robinson,Alex Ferguson
40,Sat,"Feb 10, 2007",Prem,Sheffield United,(a),1-1,1,2,L,"Jenas 2 (Hulse 27, Jagielka 62p)",Martin Atkinson,"32,144",Bramall Lane,11,,,,,,Keane,Neil Warnock
41,Sun,"Feb 18, 2007",FAC5,Fulham ,(a),1-0,4,0,W,"Keane 6, 68, Berbatov 77, 90",Mark Halsey,"18,655",Craven Cottage,n/a,,,,,1,Keane,Chris Coleman
42,Wed,"Feb 21, 2007",Prem,Everton,(a),1-1,2,1,W,"Berbatov 35, Jenas 89 (Arteta 42)",Uriah Rennie,"34,121",Goodison Park,10,,,,,,Keane,David Moyes
43,Sun,"Feb 25, 2007",Prem,Bolton Wanderers,(h),3-1,4,1,W,"Keane 11, 22, Jenas 19, Lennon 90 (Speed 37p)",Graham Poll,"35,747",White Hart Lane,9,,,1,,,Keane (Robinson),Sam Allardyce
44,Sun,"Mar 4, 2007",Prem,West Ham United,(a),0-2,4,3,W,"Defoe 51p, Tainio 63, Berbatov 89, Stalteri 90 (Noble 16, Tevez 41, Zamora 85))",Mike Dean,"34,966",Upton Park,8,,,,,,Robinson,Alan Curbishley
45,Thu,"Mar 8, 2007",UEFA4.1,SC Braga,(a),0-0,3,2,W,"Keane 57, 90, Malbranque 72 (Jorge 76, Ze Carlos 81)",A Gonchar,"15,000",Estadio Municipal de Braga,n/a,,,,,,Keane,Jorge Costa
46,Sun,"Mar 11, 2007",FAC6,Chelsea,(a),3-1,3,3,D,"Berbatov 5, Essien 28og, Ghaly 36 (Lampard 22, 71, Kalou 86)",Mike Riley,"41,517",Stamford Bridge,n/a,,,,,,Dawson,Jose Mourinho
47,Wed,"Mar 14, 2007",UEFA4.2,SC Braga,(h),2-1,3,2,W,"Berbatov 28, 42, Malbranque 76 (Huddlestone 24og, Andrade 61)",L Duhamel,"33,761",White Hart Lane,n/a,,,,,,Keane (Dawson),Jorge Costa
48,Sat,"Mar 17, 2007",Prem,Watford,(h),1-0,3,1,W,"Jenas 41, Robinson 63, Ghaly 85 (Henderson 89)",Mark Halsey,"36,051",White Hart Lane,7,,,,,,Robinson,Adrian Boothroyd
49,Mon,"Mar 19, 2007",FAC6R,Chelsea,(h),0-0,1,2,L,"Keane 79p (Shevchenko 55, Wright-Phillips 61)",Steve Bennett,"35,519",White Hart Lane,n/a,,,,,,Keane,Jose Mourinho
50,Sun,"Apr 1, 2007",Prem,Reading,(h),1-0,1,0,W,Keane 41p,Alan Wiley,"36,067",White Hart Lane,6,,,,,,Keane (Dawson),Steve Coppell
51,Thu,"Apr 5, 2007",UEFA5.1,Sevilla,(a),1-2,1,2,L,"Keane 2, (Kanoute 19p, Kerzhakov 36 ",Alain Hamer,"32,000",Estadio Ramón Sánchez-Pizjuán,n/a,,,,,,Keane,Juande Ramos
52,Sat,"Apr 7, 2007",Prem,Chelsea,(a),0-0,0,1,L,(Carvalho 52),Rob Styles,"41,864",Stamford Bridge,7,,,,,,Robinson,Jose Mourinho
53,Thu,"Apr 12, 2007",UEFA5.2,Sevilla,(h),0-2,2,2,D,"Defoe 65, Lennon 67 (Malbranque 2 og, Kanoute 8)",Konrad Plautz,"35,284",White Hart Lane,n/a,,,1,,,King,Juande Ramos
54,Sun,"Apr 15, 2007",Prem,Wigan Athletic ,(a),2-2,3,3,D,"Berbatov 4, Keane 35p, 68 (Heskey 2, Baines 30, Kilbane 60)",Graham Poll,"16,506",JJB Stadium,8,,,,,,Keane,Paul Jewell
55,Sat,"Apr 21, 2007",Prem,Arsenal ,(h),1-0,2,2,D,"Keane 30, Jenas 90 (Toure 64, Adebayor 78)",Mike Dean,"36,050",White Hart Lane,9,,,,,,King,Arsene Wenger
56,Sat,"Apr 28, 2007",Prem,Middlesbrough,(a),1-0,3,2,W,"Keane 12, 83, Berbatov 87 (Viduka 66, Pogatetz 89)",Lee Mason,"27,861",Riverside Stadium,9,,,,,,King,Gareth Southgate
57,Mon,"May 7, 2007",Prem,Charlton Athletic,(a),1-0,2,0,W,"Berbatov 7, Defoe 90",Mark Halsey,"26,339",The Valley,6,,,,,,King,Alan Pardew
58,Thu,"May 10, 2007",Prem,Blackburn Rovers,(h),0-1,1,1,D,Defoe 67 (McCarthy 32),Rob Styles,"35,974",White Hart Lane,6,,,,,,King,Mark Hughes
59,Sun,"May 13, 2007",Prem,Manchester City ,(h),2-1,2,1,W,"Keane 10, Berbatov 32 (Mpenza 40)",Steve Bennett,"35,426",White Hart Lane,5,,,,,,King,Stuart Pearce
,,,,,,,,,,,,,,,,,,,,,
,,2007-08,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,Sat,"Aug 11, 2007",Prem,Sunderland,(a),0-0,0,1,L,(Chopra 90),Alan Wiley,"43,967",Stadium of Light,n/a,,0,0,0,0,Keane,Roy Keane
2,Tue,"Aug 14, 2007",Prem,Everton,(h),1-3,1,3,L,"Gardner 26, (Lescott 3, Osman 37, Stubbs 45)",Mark Halsey,"35,716",White Hart Lane,n/a,,0,0,0,0,Keane,David Moyes
3,Sat,"Aug 18, 2007",Prem,Derby County,(h),3-0,4,0,W,"Malbranque 2, 6 Jenas 14, Bent 80",Chris Foy,"35,600",White Hart Lane,12,,0,0,0,0,Keane (Robinson),Billy Davies
4,Sun,"Aug 26, 2007",Prem,Manchester United,(a),0-0,0,1,L,(Nani 68),Howard Webb,"75,696",Old Trafford,17,,0,0,0,0,Keane (Robinson),Alex Ferguson
5,Sat,"Sep 1, 2007",Prem,Fulham,(a),2-1,3,3,D,"Kaboul 10, Berbatov 28, Bale 61 (Dempsey 42, Smertin 77, Kamara 90)",Mike Riley,"24,007",Craven Cottage,14,,0,0,0,0,Keane (Robinson),Lawrie Sanchez
6,Sat,"Sep 15, 2007",Prem,Arsenal,(h),1-0,1,3,L,"Bale 15 (Adebayor 65, 90, Fabregas 80)",Mark Clattenburg,"36,053",White Hart Lane,17,,0,0,0,0,Keane,Arsene Wenger
7,Thu,"Sep 20, 2007",UEFA 1.1,Anorthosis Famagusta FC,(h),4-0,6,1,W,"Kaboul 5, Dawson 40, Keane 42, Bent 43, Defoe 65, 90 (Zlogar81)",P Dondarini,"35,780",White Hart Lane,n/a,,0,0,0,0,Keane (Dawson),Temuri Ketsbaia
8,Sun,"Sep 23, 2007",Prem,Bolton Wanderers,(a),1-1,1,1,D,Keane 34 (Campo 39),Andre Marriner,"20,308",Reebok Stadium,18,,0,0,0,0,Keane,Sammy Lee
9,Wed,"Sep 26, 2007",LC3,Middlesbrough,(h),0-0,2,0,W,"Bale 72, Huddlestone 75",Keith Stroud,"32,280",White Hart Lane,n/a,,0,0,0,0,Robinson,Gareth Southgate
10,Mon,"Oct 1, 2007",Prem,Aston Villa,(h),1-3,4,4,D,"Berbatov 20, Chimbonda 69, Keane 82p, Kaboul 90 (Laursen 22, 33, Agbonlahor 40, Gardner 59)",Mike Dean,"36,094",White Hart Lane,18,,1,0,0,0,Keane,Martin O'Neill
11,Thu,"Oct 4, 2007",UEFA 1.2,Anorthosis Famagusta FC,(a),0-0,1,1,D,Keane 78 (Fabinho 54),Pavel Kralovec,"9,000",Antonis Papadopoulos Stadium,n/a,,0,0,0,0,Robinson,Temuri Ketsbaia
12,Sat,"Oct 6, 2007",Prem,Liverpool,(a),1-1,2,2,D,"Keane 45, 47 (Voronin 12, Torres 90)",Mark Halsey,"43,986",Anfield,17,,0,0,0,0,Keane,Rafael Benitez
13,Mon,"Oct 22, 2007",Prem,Newcastle United,(a),0-1,1,3,L,"Keane 57 (Martins 45,Cacapa 51, Milner 73)",Steve Bennett,"51,411",St James' Park,18,,0,0,0,0,Keane,Sam Allardyce
14,Thu,"Oct 25, 2007",UEFA Gp,Getafe,(h),1-1,1,2,L,"Defoe 19 (De La Red 2, Braulio 70)",Knut Kircher,,White Hart Lane,n/a,,0,0,0,0,Zokora (Keane),Michael Laudrup
15,Sun,"Oct 28, 2007",Prem,Blackburn Rovers ,(h),0-0,1,2,L,"Keane 49p (McCarthy 60, Samba 90)",Rob Styles,"36,086",White Hart Lane,18,,1,0,0,0,Keane,Mark Hughes
16,Wed,"Oct 31, 2007",LC4,Blackpool ,(h),1-0,2,0,W,"Keane 18,Chimbonda 58",Chris Foy,"32,196",White Hart Lane,n/a,,0,0,0,0,Keane (Robinson),Simon Grayson
17,Sat,"Nov 3, 2007",Prem,Middlesbrough,(a),1-0,1,1,D,Bent 35 (Young 52),Mike Dean,"25,625",Riverside Stadium,17,,0,0,0,0,Robinson,Gareth Southgate
18,Thu,"Nov 8, 2007",UEFA Gp,Hapoel Tel Aviv,(a),2-0,2,0,W,"Keane 26, Berbatov 31",Gregorz Gilewski,"10,000",Bloomfield Stadium,n/a,,0,0,0,1,Keane (Robinson),Guy Luzon
19,Sun,"Nov 11, 2007",Prem,Wigan Athletic ,(h),3-0,4,0,W,"Jenas 13, 26, Lennon 34, Bent 72",Howard Webb,"35,504",White Hart Lane,14,,0,0,0,0,Keane (Robinson),Frank Barlow (c)
20,Sat,"Nov 24, 2007",Prem,West Ham United,(a),0-1,1,1,D,Dawson 67 (Cole 20),Mike Riley,"34,966",Upton Park,14,,S,0,0,0,Keane (Robinson),Alan Curbishley
21,Thu,"Nov 29, 2007",UEFA Gp,Aalborg,(h),0-2,3,2,W,"Berbatov 46, Malbranque 51, Bent 66 (Enevoldsen 2, Risgaard 37)",Pedro Proenca,"29,758",White Hart Lane,n/a,,0,0,0,0,Keane,Erik Hamrén  
22,Sun,"Dec 2, 2007",Prem,Birmingham City ,(h),0-1,2,3,L,"Keane 50p, 53 (McSheffrey 24p, Jerome 62, Larsson 90)",Phil Dowd,"35,635",White Hart Lane,16,,1,1,1,0,Keane (Robinson),Alex McLeish
23,Thu,"Dec 6, 2007",UEFA Gp,Anderlecht,(a),0-0,1,1,D,Berbatov 71p (Goor 68),Damir Skomina,"22,500",Constant Vanden Stock Stadium,n/a,,1,0,0,0,Keane (Robinson),Ariel Jacobs
24,Sun,"Dec 9, 2007",Prem,Manchester City ,(h),1-0,2,1,W,"Chimbonda 45, Defoe 83 (Bianchi 61)",Mark Halsey,"35,646",White Hart Lane,13,,0,0,0,1,Robinson,Sven-Goran Erikkson
25,Sat,"Dec 15, 2007",Prem,Portsmouth,(a),0-0,1,0,W,Berbatov 81,Martin Atkinson,"20,520",Fratton Park,12,,0,0,0,0,Robinson,Harry Redknapp
26,Tue,"Dec 18, 2007",LC5,Manchester City,(a),1-0,2,0,W,"Defoe 5, Malbranque 82",Steve Bennett,"38,564",City of Manchester Stadium,n/a,,0,1,0,0,Robinson,Sven-Goran Erikkson
27,Sat,"Dec 22, 2007",Prem,Arsenal,(a),0-0,1,2,L,"Berbatov 66 (Adebayor 48, Bendtner 76)",Rob Styles,"60,087",Emirates Stadium,13,,S,0,0,0,Keane (Robinson),Arsene Wenger
28,Wed,"Dec 26, 2007",Prem,Fulham,(h),2-0,5,1,W,"Keane 27, 62, Huddlestone 45, 71, Defoe 90 (Dempsey 60)",Andre Marriner,"36,077",White Hart Lane,13,,0,0,0,1,King (Robinson),Ray Lewington (c)
