Dataset name: Exchange Rates; Frequency: Daily; Currency: Norwegian krone; Currency denominator: Euro; Exchange rate type: Spot; Series variation - EXR context: Average or standardised measure for given frequency
,EXR.D.NOK.EUR.SP00.A
,"ECB reference exchange rate, Norwegian krone/Euro, 2:15 pm (C.E.T.)"
Period\Unit:,[Norwegian krone ]
2005-05-03,8.1440
2005-05-02,8.1365
2005-04-29,8.1430
2005-04-28,8.1450
2005-04-27,8.1270
2005-04-26,8.1315
2005-04-25,8.1550
2005-04-22,8.1625
2005-04-21,8.1560
2005-04-20,8.1865
2005-04-19,8.2075
2005-04-18,8.2200
2005-04-15,8.2320
2005-04-14,8.2465
2005-04-13,8.1910
2005-04-12,8.1760
2005-04-11,8.1730
2005-04-08,8.1635
2005-04-07,8.1620
2005-04-06,8.1670
2005-04-05,8.1640
2005-04-04,8.1980
2005-04-01,8.1950
2005-03-31,8.2060
2005-03-30,8.1860
2005-03-29,8.2190
2005-03-24,8.2000
2005-03-23,8.1818
2005-03-22,8.1735
2005-03-21,8.1400
2005-03-18,8.1280
2005-03-17,8.1410
2005-03-16,8.2010
2005-03-15,8.1860
2005-03-14,8.1760
2005-03-11,8.1770
2005-03-10,8.1740
2005-03-09,8.1750
2005-03-08,8.2010
2005-03-07,8.2160
2005-03-04,8.2275
2005-03-03,8.2210
2005-03-02,8.2060
2005-03-01,8.2120
2005-02-28,8.2200
2005-02-25,8.2615
2005-02-24,8.2350
2005-02-23,8.2605
2005-02-22,8.2700
2005-02-21,8.2855
2005-02-18,8.2880
2005-02-17,8.3660
2005-02-16,8.3590
2005-02-15,8.3720
2005-02-14,8.4165
2005-02-11,8.4220
2005-02-10,8.4305
2005-02-09,8.3540
2005-02-08,8.3960
2005-02-07,8.3460
2005-02-04,8.2920
2005-02-03,8.2600
2005-02-02,8.2690
2005-02-01,8.2945
2005-01-31,8.2600
2005-01-28,8.2500
2005-01-27,8.2430
2005-01-26,8.2280
2005-01-25,8.2065
2005-01-24,8.1915
2005-01-21,8.1970
2005-01-20,8.1790
2005-01-19,8.1475
2005-01-18,8.1610
2005-01-17,8.1950
2005-01-14,8.1750
2005-01-13,8.1860
2005-01-12,8.1940
2005-01-11,8.2045
2005-01-10,8.2270
2005-01-07,8.2210
2005-01-06,8.2535
2005-01-05,8.2835
